epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,5388.3,0.76775,0.08968,0.06387,0.31668,0.01102,0.00386,0.99064,0.98731,0.99357,0.91739,0.9893,0.98548,0.99344,0.99337,0.46451,0.02345,0.00931,0.14515,0.00917,0,0.00281632,0.00281632,0.00281632
26,5596.28,0.76077,0.0839,0.06184,0.31265,0.01089,0.00036,0.98957,0.98979,0.99376,0.92067,0.98937,0.98669,0.99362,0.99353,0.4599,0.02376,0.00935,0.14508,0.00908,0,0.00280105,0.00280105,0.00280105
27,5799.89,0.75707,0.08632,0.06294,0.3148,0.01084,0,0.99016,0.98992,0.99374,0.9222,0.9888,0.98796,0.99361,0.99352,0.4545,0.02337,0.00889,0.1414,0.00895,0,0.00278522,0.00278522,0.00278522
28,6002.02,0.74566,0.08549,0.06155,0.31217,0.01065,0.00206,0.99135,0.98976,0.99414,0.92376,0.99031,0.98757,0.99402,0.99396,0.44872,0.02283,0.00882,0.13742,0.00882,0,0.00276883,0.00276883,0.00276883
29,6204.67,0.73884,0.08357,0.05976,0.30252,0.01055,0,0.99278,0.98691,0.99384,0.92447,0.9911,0.98521,0.99374,0.99367,0.44396,0.02271,0.00885,0.13688,0.00869,0,0.00275189,0.00275189,0.00275189
30,6406.3,0.73812,0.08477,0.06153,0.29938,0.01056,0,0.99251,0.99005,0.99395,0.92531,0.99116,0.98822,0.99382,0.99377,0.44113,0.02255,0.0091,0.13476,0.00863,0,0.00273441,0.00273441,0.00273441
31,6607.84,0.7336,0.08506,0.05841,0.29784,0.0105,8e-05,0.99085,0.99165,0.99399,0.92672,0.98991,0.98869,0.99389,0.99383,0.43899,0.02238,0.00919,0.13456,0.00857,0,0.00271639,0.00271639,0.00271639
32,6809.52,0.72749,0.08492,0.05818,0.2947,0.01042,0.00188,0.99021,0.99136,0.99418,0.92733,0.98838,0.98953,0.99407,0.99402,0.43631,0.02224,0.00938,0.13559,0.00852,0,0.00269785,0.00269785,0.00269785
33,7016.32,0.72208,0.08155,0.05897,0.28934,0.01027,0,0.99225,0.98848,0.9941,0.92752,0.99054,0.98678,0.99399,0.99394,0.43582,0.02225,0.00934,0.13549,0.00851,0,0.00267878,0.00267878,0.00267878
34,7218.48,0.71995,0.07911,0.05891,0.29078,0.01026,0,0.99211,0.99202,0.99408,0.92735,0.99057,0.99017,0.99397,0.99392,0.43567,0.02203,0.00917,0.13457,0.00851,0,0.00265921,0.00265921,0.00265921
35,7418.96,0.72072,0.08008,0.05842,0.29219,0.01014,0,0.99176,0.99188,0.99405,0.92936,0.98993,0.99005,0.99393,0.99388,0.4342,0.02192,0.00913,0.13426,0.00847,0,0.00263914,0.00263914,0.00263914
36,7620.19,0.71555,0.08363,0.05747,0.28834,0.01018,0.00513,0.99179,0.99228,0.99413,0.92876,0.98996,0.99045,0.99403,0.99398,0.43428,0.02194,0.00896,0.13404,0.00847,0,0.00261857,0.00261857,0.00261857
37,7826.44,0.70871,0.07288,0.05555,0.28452,0.01009,0,0.99162,0.99148,0.994,0.92867,0.98979,0.98965,0.9939,0.99384,0.43342,0.02182,0.00884,0.13476,0.00846,0,0.00259752,0.00259752,0.00259752
