epoch,stage,lr,landm_weight,train_time_s,train_loss,train_reg,train_cls,train_landm,train_nme,train_acc,train_landm_acc,train_landm_acc_eyeL,train_landm_acc_eyeR,train_landm_acc_nose,train_landm_acc_mouthL,train_landm_acc_mouthR,train_pos_precision,train_pos_recall,train_pos_f1,train_neg_precision,train_neg_recall,val_time_s,val_loss,val_reg,val_cls,val_landm,val_nme,val_acc,val_landm_acc,val_landm_acc_eyeL,val_landm_acc_eyeR,val_landm_acc_nose,val_landm_acc_mouthL,val_landm_acc_mouthR,val_pos_precision,val_pos_recall,val_pos_f1,val_neg_precision,val_neg_recall,val_map50,val_map75,val_map
14,2,9.883102778550434e-06,1.0,321.6,14.866946,0.247191,0.674625,13.697938,0.046312,0.999563,0.91872,0.936889,0.935582,0.88557,0.918541,0.917023,0.910184,0.86439,0.886696,0.999731,0.999831,33.8,14.934604,0.237913,0.667858,13.79092,0.045211,0.999576,0.920854,0.938819,0.9352,0.888586,0.920548,0.921122,0.912752,0.869068,0.890375,0.99974,0.999835,,,
15,2,9.858670610873528e-06,1.0,316.6,14.608825,0.247105,0.670694,13.44392,0.04535,0.999562,0.922298,0.939286,0.938102,0.891569,0.922573,0.919963,0.910252,0.863661,0.886345,0.99973,0.999831,33.9,14.687633,0.236289,0.663936,13.551119,0.044282,0.999575,0.924186,0.941863,0.937625,0.894178,0.923266,0.923999,0.914059,0.867044,0.889931,0.999736,0.999838,,,
16,2,9.831957763956812e-06,1.0,318.2,14.40285,0.245146,0.665672,13.246886,0.044574,0.999563,0.924993,0.941442,0.940666,0.89592,0.924931,0.922014,0.910614,0.863974,0.886681,0.99973,0.999832,33.8,14.580005,0.236611,0.658974,13.447809,0.043877,0.999574,0.926962,0.943723,0.940884,0.898463,0.925308,0.926435,0.912783,0.868112,0.889888,0.999738,0.999835,,,
17,2,9.802976776916493e-06,1.0,321.2,14.192397,0.243818,0.662758,13.042004,0.043801,0.999563,0.927863,0.943453,0.942504,0.900974,0.927863,0.924526,0.911332,0.863098,0.88656,0.999729,0.999834,34.2,14.365278,0.235763,0.658337,13.235416,0.043076,0.999575,0.929601,0.945347,0.942688,0.903672,0.928026,0.928274,0.91408,0.866921,0.889876,0.999736,0.999838,,,
18,2,9.771741253542742e-06,1.0,316.7,14.012768,0.243159,0.659652,12.866799,0.043128,0.999562,0.930085,0.94459,0.945375,0.904888,0.929163,0.926413,0.911457,0.862434,0.886268,0.999727,0.999834,33.7,14.158948,0.235447,0.652195,13.03586,0.042312,0.999579,0.931489,0.946768,0.944854,0.905612,0.929819,0.930395,0.91156,0.871991,0.891337,0.999746,0.999832,,,
19,2,9.738265855914014e-06,1.0,322.0,13.81655,0.242151,0.653808,12.67844,0.042432,0.999565,0.932742,0.946954,0.945715,0.908577,0.931963,0.930506,0.911812,0.863445,0.886969,0.999729,0.999835,34.1,13.963868,0.234817,0.649839,12.844395,0.041541,0.999577,0.933589,0.948606,0.946263,0.909468,0.931816,0.931794,0.911372,0.871114,0.890788,0.999744,0.999832,,,
20,2,9.702566297514622e-06,1.0,320.0,13.66481,0.239493,0.650099,12.535724,0.041863,0.999565,0.934774,0.949038,0.947424,0.912688,0.933332,0.931389,0.912057,0.863053,0.886879,0.999729,0.999835,33.4,13.927751,0.233441,0.645769,12.8151,0.04154,0.999576,0.935037,0.949824,0.948135,0.911227,0.932752,0.933249,0.913937,0.86773,0.890235,0.999737,0.999838,,,
21,2,9.664659335858755e-06,1.0,320.5,13.509531,0.238608,0.647411,12.384905,0.041287,0.999565,0.936295,0.94986,0.948391,0.915154,0.935156,0.932916,0.912304,0.863048,0.886992,0.999729,0.999836,34.0,13.636149,0.231843,0.642323,12.530141,0.040392,0.999578,0.937207,0.951154,0.949646,0.91576,0.934997,0.934479,0.915879,0.866392,0.890449,0.999735,0.999842,,,
22,2,9.624562764624446e-06,1.0,319.6,13.365758,0.23829,0.64488,12.244299,0.04078,0.999563,0.937926,0.951666,0.949236,0.918137,0.936273,0.93432,0.911899,0.862403,0.886461,0.999727,0.999835,33.2,13.495288,0.231037,0.639666,12.393547,0.039889,0.999578,0.938815,0.952496,0.951,0.918207,0.93635,0.936024,0.914123,0.868832,0.890902,0.99974,0.999838,,,
23,2,9.582295405301131e-06,1.0,321.2,13.230622,0.237103,0.64211,12.114306,0.0403,0.999565,0.939652,0.952905,0.950681,0.920784,0.938004,0.935887,0.912278,0.862803,0.886851,0.999728,0.999836,33.5,13.462936,0.230551,0.637719,12.364116,0.039794,0.999578,0.939993,0.953342,0.951158,0.920755,0.937399,0.93731,0.915619,0.866887,0.890587,0.999736,0.999841,,,
