epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,6320.43,0.78646,0.09624,0.06714,0.34428,0.01148,0.01715,0.98486,0.98736,0.99351,0.90563,0.98495,0.98454,0.99327,0.99322,0.50363,0.0241,0.00979,0.15949,0.01009,0,0.00281632,0.00281632,0.00281632
26,6563.79,0.7881,0.08044,0.06486,0.34206,0.01149,0,0.98737,0.98639,0.99366,0.90813,0.98619,0.98521,0.99344,0.99339,0.49254,0.02321,0.00962,0.15638,0.00987,0,0.00280105,0.00280105,0.00280105
27,6806.87,0.77168,0.07914,0.06339,0.34118,0.01117,0,0.98861,0.98495,0.99362,0.91055,0.9873,0.98364,0.99337,0.99333,0.48508,0.02252,0.00931,0.15457,0.00971,0,0.00278522,0.00278522,0.00278522
28,7050.31,0.76472,0.08052,0.06211,0.33931,0.01109,1e-05,0.98637,0.98512,0.99326,0.91171,0.98532,0.98388,0.99298,0.9929,0.47671,0.02188,0.0087,0.15533,0.00952,0,0.00276883,0.00276883,0.00276883
29,7294.29,0.75923,0.07778,0.06153,0.33211,0.01097,0,0.98911,0.9861,0.99335,0.9139,0.98832,0.98532,0.99306,0.99298,0.47202,0.02162,0.00858,0.15178,0.0094,0,0.00275189,0.00275189,0.00275189
30,7538.61,0.75085,0.07902,0.06121,0.32694,0.0109,6e-05,0.9908,0.98718,0.99366,0.91591,0.98998,0.98639,0.99346,0.99339,0.46826,0.02149,0.00875,0.15009,0.00933,0,0.00273441,0.00273441,0.00273441
31,7782.25,0.75826,0.07818,0.06157,0.33296,0.01095,0,0.98911,0.98822,0.99354,0.91776,0.98806,0.98718,0.99337,0.9933,0.46275,0.02125,0.00893,0.14883,0.00921,0,0.00271639,0.00271639,0.00271639
32,8026.63,0.74739,0.07771,0.06002,0.3257,0.01074,0,0.9904,0.98731,0.99354,0.91853,0.98935,0.98626,0.99336,0.9933,0.46026,0.02115,0.0087,0.14856,0.00916,0,0.00269785,0.00269785,0.00269785
33,8270.86,0.73678,0.07721,0.05866,0.31859,0.01059,0,0.99092,0.98554,0.99345,0.91911,0.98987,0.98449,0.99323,0.99318,0.45962,0.02093,0.00852,0.14947,0.00914,0,0.00267878,0.00267878,0.00267878
34,8515.19,0.73906,0.0781,0.05948,0.32049,0.01067,0,0.98888,0.98665,0.99348,0.92028,0.98783,0.98561,0.99323,0.99318,0.457,0.0208,0.00857,0.14882,0.00909,0,0.00265921,0.00265921,0.00265921
35,8759.52,0.73073,0.07827,0.05813,0.31599,0.01051,0,0.99028,0.98668,0.99364,0.92094,0.98923,0.98564,0.99342,0.99338,0.45565,0.02064,0.00841,0.14642,0.00906,0,0.00263914,0.00263914,0.00263914
36,9004.47,0.72833,0.07501,0.05835,0.31486,0.01053,0,0.98901,0.98901,0.99364,0.92165,0.98938,0.98741,0.99326,0.99323,0.45418,0.02055,0.00836,0.14413,0.00902,0,0.00261857,0.00261857,0.00261857
37,9248.54,0.72179,0.07453,0.0579,0.30881,0.01044,0,0.9912,0.98714,0.99351,0.92214,0.99015,0.98613,0.99311,0.99308,0.45379,0.02055,0.0084,0.14365,0.00901,0,0.00259752,0.00259752,0.00259752
38,9491.32,0.72152,0.07379,0.0577,0.31316,0.01042,0,0.98952,0.98883,0.99363,0.92284,0.98872,0.98705,0.99352,0.99348,0.45293,0.02047,0.00822,0.14334,0.00899,0,0.00257599,0.00257599,0.00257599
39,9735.24,0.71655,0.07502,0.0567,0.30797,0.01028,0,0.9912,0.98808,0.99373,0.92353,0.99015,0.98703,0.99361,0.99358,0.45133,0.02027,0.00848,0.14213,0.00896,0,0.002554,0.002554,0.002554
40,9979.44,0.70921,0.0708,0.05574,0.30352,0.0102,0,0.99093,0.98862,0.9935,0.92358,0.99055,0.98718,0.99317,0.99314,0.44972,0.02016,0.00842,0.14169,0.00892,0,0.00253155,0.00253155,0.00253155
41,10223.9,0.70254,0.07127,0.05476,0.30303,0.0101,0.01562,0.99031,0.98977,0.99362,0.92474,0.98981,0.98822,0.99332,0.99328,0.44716,0.01999,0.00852,0.14084,0.00886,0,0.00250866,0.00250866,0.00250866
42,10468.3,0.70379,0.07167,0.05484,0.30144,0.01014,0,0.99108,0.9888,0.99363,0.92461,0.99029,0.98735,0.99339,0.99335,0.44636,0.01986,0.00832,0.14101,0.00884,0,0.00248533,0.00248533,0.00248533
43,10712.2,0.70034,0.07225,0.05595,0.30231,0.01007,0,0.99134,0.98864,0.99377,0.92515,0.99042,0.98737,0.99358,0.99354,0.44503,0.01972,0.0083,0.14053,0.00881,0,0.00246157,0.00246157,0.00246157
44,10956.2,0.70269,0.0693,0.05496,0.3019,0.01009,0,0.98998,0.98796,0.99372,0.92542,0.98915,0.98639,0.99354,0.99351,0.44459,0.01958,0.00825,0.14194,0.0088,0,0.0024374,0.0024374,0.0024374
45,11199.7,0.69298,0.06898,0.05472,0.29323,0.00992,0,0.99003,0.98783,0.9935,0.92537,0.98885,0.98656,0.99331,0.99327,0.44416,0.01949,0.0082,0.14175,0.00879,0,0.00241283,0.00241283,0.00241283
46,11442.9,0.68863,0.06813,0.05397,0.29371,0.00989,0,0.99002,0.98678,0.99369,0.92559,0.98884,0.98561,0.99351,0.99348,0.44343,0.01942,0.00808,0.14155,0.00877,0,0.00238786,0.00238786,0.00238786
47,11686.8,0.68965,0.06735,0.05473,0.29553,0.00992,0,0.99223,0.9877,0.99395,0.92606,0.99111,0.98639,0.99378,0.99375,0.44334,0.01932,0.00812,0.13978,0.00876,0,0.00236251,0.00236251,0.00236251
48,11930.3,0.68459,0.06483,0.05243,0.28889,0.00982,0,0.98979,0.98912,0.99385,0.92605,0.98899,0.98747,0.99368,0.99365,0.44266,0.01964,0.00794,0.13931,0.00874,0,0.00233679,0.00233679,0.00233679
49,12174.6,0.67989,0.06624,0.05252,0.28667,0.00973,0,0.98922,0.9894,0.99373,0.92593,0.98796,0.98799,0.99356,0.99352,0.44194,0.01956,0.00787,0.14044,0.00872,0,0.0023107,0.0023107,0.0023107
50,12418.1,0.67871,0.06719,0.05203,0.28931,0.00972,0,0.98875,0.98904,0.99374,0.92628,0.98783,0.98761,0.99356,0.99353,0.44058,0.01947,0.00779,0.14069,0.00868,0,0.00228427,0.00228427,0.00228427
51,12661.7,0.67697,0.06631,0.05164,0.28559,0.00967,0,0.98833,0.99097,0.99369,0.92623,0.98812,0.98848,0.99351,0.99348,0.43981,0.01944,0.00765,0.13976,0.00866,0,0.0022575,0.0022575,0.0022575
52,12906.3,0.67614,0.06554,0.0517,0.28376,0.00965,0,0.98964,0.98761,0.99362,0.92714,0.98923,0.98574,0.99345,0.99342,0.43825,0.01929,0.00757,0.13968,0.00862,0,0.0022304,0.0022304,0.0022304
53,13151.2,0.67185,0.06463,0.05074,0.28228,0.0096,0,0.98748,0.99092,0.99356,0.92765,0.98757,0.98803,0.99341,0.99338,0.43698,0.01914,0.00745,0.13902,0.00859,0,0.00220299,0.00220299,0.00220299
54,13396.1,0.66609,0.06458,0.05115,0.28033,0.00949,0,0.98926,0.98823,0.99362,0.92819,0.98798,0.98665,0.99346,0.99344,0.43569,0.01911,0.00741,0.13827,0.00856,0,0.00217528,0.00217528,0.00217528
55,13641.4,0.6682,0.0643,0.05122,0.27828,0.00954,0,0.99029,0.98862,0.99366,0.92841,0.98884,0.98718,0.99349,0.99345,0.43568,0.01903,0.00736,0.13801,0.00855,0,0.00214728,0.00214728,0.00214728
56,13885,0.66674,0.06488,0.05061,0.27752,0.00956,0,0.98947,0.99032,0.99376,0.92864,0.98803,0.98888,0.99359,0.99356,0.43444,0.01877,0.00721,0.13808,0.00852,0,0.002119,0.002119,0.002119
57,14129.4,0.65894,0.06316,0.05073,0.27406,0.00942,0,0.98888,0.98966,0.99377,0.92867,0.98744,0.98822,0.9936,0.99357,0.43294,0.0187,0.00727,0.1381,0.00848,0,0.00209046,0.00209046,0.00209046
58,14374.1,0.6572,0.06262,0.05059,0.27309,0.00935,0,0.98928,0.98989,0.99372,0.92892,0.98822,0.98798,0.99355,0.99351,0.43231,0.0186,0.00721,0.13789,0.00846,0,0.00206166,0.00206166,0.00206166
59,14618.6,0.65953,0.06561,0.05115,0.2735,0.00947,0,0.98905,0.98888,0.99368,0.92947,0.98779,0.98718,0.99351,0.99347,0.43151,0.01852,0.00714,0.13756,0.00844,0,0.00203263,0.00203263,0.00203263
60,14861.9,0.66384,0.06299,0.04993,0.27699,0.00946,0,0.98973,0.99005,0.9935,0.92967,0.98849,0.98853,0.99331,0.99328,0.4305,0.01837,0.00693,0.13698,0.00842,0,0.00200337,0.00200337,0.00200337
61,15106.2,0.65523,0.06127,0.05033,0.27233,0.00934,0,0.99055,0.98758,0.99342,0.93059,0.98949,0.98594,0.99324,0.99321,0.42856,0.01825,0.00686,0.13721,0.00837,0,0.00197389,0.00197389,0.00197389
62,15350.4,0.65124,0.06172,0.049,0.27115,0.00929,0.00573,0.99056,0.98908,0.9934,0.93132,0.98899,0.98751,0.99319,0.99316,0.42767,0.01814,0.00687,0.13612,0.00835,0,0.00194421,0.00194421,0.00194421
63,15594.7,0.64796,0.06032,0.04897,0.26791,0.00918,0,0.98986,0.98927,0.99332,0.9314,0.98871,0.9877,0.99311,0.99308,0.42647,0.01803,0.007,0.13543,0.00833,0,0.00191435,0.00191435,0.00191435
64,15839.5,0.64954,0.06247,0.04845,0.26795,0.00919,0,0.99074,0.98848,0.99345,0.93181,0.98962,0.98599,0.99327,0.99324,0.42586,0.01803,0.00679,0.13571,0.00832,0,0.0018843,0.0018843,0.0018843
65,16084,0.6452,0.05933,0.04799,0.26853,0.00919,0,0.9907,0.98927,0.99362,0.93261,0.99021,0.98613,0.99343,0.9934,0.42453,0.01797,0.00666,0.13434,0.00829,0,0.0018541,0.0018541,0.0018541
66,16327.9,0.64499,0.05876,0.04846,0.26388,0.00919,0,0.99035,0.99005,0.99363,0.93274,0.98878,0.98848,0.99346,0.99343,0.42329,0.01788,0.00671,0.13378,0.00826,0,0.00182375,0.00182375,0.00182375
67,16572,0.64097,0.0576,0.04849,0.26294,0.00914,0,0.99176,0.98835,0.99345,0.93295,0.99119,0.98602,0.99328,0.99325,0.4223,0.01761,0.00671,0.13245,0.00824,0,0.00179326,0.00179326,0.00179326
68,16816.1,0.63879,0.0597,0.04874,0.26081,0.0091,0,0.99101,0.98927,0.99345,0.93373,0.99149,0.98561,0.99327,0.99325,0.42075,0.01754,0.00659,0.13218,0.00821,0,0.00176265,0.00176265,0.00176265
69,17060.3,0.6395,0.05865,0.04785,0.26125,0.0091,0.0003,0.99182,0.98966,0.99355,0.93419,0.99025,0.98809,0.99336,0.99333,0.41938,0.01756,0.00658,0.13124,0.00818,0,0.00173193,0.00173193,0.00173193
70,17304.3,0.64089,0.05942,0.04779,0.26802,0.00912,0.00818,0.99042,0.99215,0.99355,0.93416,0.98885,0.99058,0.99339,0.99336,0.41867,0.01749,0.00658,0.1299,0.00817,0,0.00170112,0.00170112,0.00170112
71,17549.7,0.63233,0.05716,0.04722,0.26498,0.00901,0,0.99036,0.99228,0.99351,0.93415,0.98934,0.98992,0.99336,0.99334,0.41774,0.01743,0.00662,0.12996,0.00815,0,0.00167022,0.00167022,0.00167022
72,17806.2,0.62813,0.0554,0.04753,0.26075,0.00893,0,0.99047,0.99248,0.99354,0.93458,0.98928,0.9899,0.99337,0.99334,0.41704,0.01738,0.00663,0.12944,0.00814,0,0.00163926,0.00163926,0.00163926
73,18056.2,0.63326,0.05759,0.04777,0.25912,0.009,0.00084,0.99072,0.9914,0.99356,0.93464,0.99004,0.98904,0.99337,0.99334,0.41617,0.01733,0.00662,0.12937,0.00812,0,0.00160824,0.00160824,0.00160824
74,18305.9,0.63112,0.05633,0.04868,0.2606,0.00894,0,0.99149,0.99063,0.99353,0.9351,0.98991,0.98897,0.99335,0.99332,0.41569,0.01728,0.0066,0.13,0.00811,0,0.00157719,0.00157719,0.00157719
75,18555.9,0.62573,0.05732,0.04806,0.25595,0.00888,0,0.99281,0.99058,0.99355,0.93567,0.99123,0.98862,0.99336,0.99333,0.4148,0.01722,0.00657,0.12845,0.00809,0,0.0015461,0.0015461,0.0015461
76,18807.1,0.62452,0.05539,0.04639,0.25479,0.00884,0,0.99162,0.99081,0.99349,0.93588,0.98978,0.98863,0.99328,0.99326,0.41421,0.01717,0.00654,0.12884,0.00807,0,0.001515,0.001515,0.001515
77,19057.9,0.62629,0.05345,0.04613,0.25843,0.00888,0,0.99032,0.99189,0.9934,0.93548,0.98939,0.98803,0.99318,0.99316,0.41364,0.0171,0.00654,0.12899,0.00806,0,0.0014839,0.0014839,0.0014839
78,19309.1,0.62034,0.05397,0.04568,0.24855,0.0088,0,0.99017,0.99241,0.99336,0.9355,0.98862,0.98896,0.99316,0.99314,0.41332,0.01703,0.00649,0.12828,0.00805,0,0.00145281,0.00145281,0.00145281
79,19561.1,0.61793,0.05335,0.0454,0.2497,0.00871,0,0.98942,0.9912,0.99347,0.93575,0.98964,0.98744,0.99326,0.99324,0.41255,0.01697,0.00652,0.12837,0.00804,0,0.00142176,0.00142176,0.00142176
80,19811.3,0.61846,0.05525,0.04651,0.25081,0.00878,0,0.98956,0.99228,0.99354,0.93565,0.9877,0.99019,0.99335,0.99333,0.41208,0.01689,0.0065,0.12783,0.00803,0,0.00139074,0.00139074,0.00139074
81,20062.9,0.61659,0.05282,0.04473,0.25135,0.00874,0,0.99214,0.99057,0.99355,0.93561,0.99016,0.988,0.99335,0.99333,0.41112,0.01687,0.00641,0.12763,0.00801,0,0.00135978,0.00135978,0.00135978
82,20315.2,0.61117,0.05318,0.04432,0.24859,0.00866,0,0.99179,0.99149,0.99356,0.9358,0.99017,0.98888,0.99338,0.99336,0.41045,0.0168,0.00637,0.1266,0.008,0,0.00132888,0.00132888,0.00132888
83,20568.7,0.61319,0.05355,0.04455,0.24412,0.00868,0,0.99131,0.99202,0.99356,0.93655,0.98992,0.98966,0.99338,0.99336,0.4097,0.01672,0.00638,0.12613,0.00798,0,0.00129807,0.00129807,0.00129807
84,20821.2,0.61161,0.05502,0.04522,0.2457,0.00866,0,0.99188,0.99161,0.99355,0.93698,0.99115,0.98848,0.9934,0.99338,0.40868,0.01665,0.00635,0.12586,0.00797,0,0.00126735,0.00126735,0.00126735
85,21074.6,0.61243,0.0534,0.0457,0.24834,0.00867,0,0.99111,0.99212,0.99359,0.93803,0.98966,0.98927,0.99341,0.99339,0.40778,0.01659,0.00631,0.12627,0.00795,0,0.00123674,0.00123674,0.00123674
86,21326.6,0.60894,0.05377,0.0454,0.24666,0.00862,0,0.9924,0.99057,0.99359,0.93809,0.99069,0.98825,0.99339,0.99337,0.40683,0.01651,0.00627,0.1257,0.00793,0,0.00120625,0.00120625,0.00120625
87,21580.3,0.60601,0.05226,0.04463,0.24731,0.0086,0,0.99292,0.99163,0.9936,0.93905,0.99095,0.98966,0.99341,0.99339,0.4062,0.01647,0.00612,0.12478,0.00792,0,0.0011759,0.0011759,0.0011759
88,21835.4,0.60331,0.0507,0.04459,0.24438,0.00849,0,0.99225,0.99123,0.9936,0.93945,0.99005,0.98916,0.99341,0.99339,0.40531,0.0164,0.00609,0.12433,0.0079,0,0.0011457,0.0011457,0.0011457
89,22090.2,0.60532,0.05314,0.04416,0.24518,0.00858,0,0.99211,0.99306,0.9936,0.93968,0.99002,0.99097,0.99342,0.9934,0.40433,0.01636,0.00607,0.12385,0.00788,0,0.00111565,0.00111565,0.00111565
90,22345.8,0.60307,0.05275,0.04511,0.2464,0.00845,0,0.99194,0.99254,0.99363,0.93968,0.98985,0.99045,0.99343,0.99342,0.40392,0.01631,0.00597,0.12342,0.00787,0,0.00108579,0.00108579,0.00108579
91,22601.8,0.59846,0.05103,0.04335,0.2427,0.00848,0,0.99293,0.99207,0.99365,0.93987,0.99108,0.98966,0.99344,0.99343,0.40323,0.01626,0.00597,0.12276,0.00786,0,0.00105611,0.00105611,0.00105611
92,22858.4,0.5987,0.05162,0.04374,0.24068,0.00843,0,0.99203,0.99297,0.99365,0.94005,0.99019,0.99083,0.99344,0.99343,0.40243,0.01618,0.006,0.12326,0.00785,0,0.00102663,0.00102663,0.00102663
93,23114.6,0.5945,0.0514,0.04439,0.23795,0.0084,0,0.99266,0.99101,0.99364,0.94025,0.99096,0.98835,0.99342,0.9934,0.40138,0.01613,0.00595,0.12397,0.00783,0,0.000997371,0.000997371,0.000997371
94,23370.6,0.59317,0.05112,0.04388,0.23872,0.00835,0,0.99247,0.9911,0.99366,0.94021,0.99056,0.98901,0.99343,0.99341,0.40093,0.01609,0.00591,0.12332,0.00782,0,0.000968335,0.000968335,0.000968335
95,23628.2,0.59309,0.04973,0.04252,0.23971,0.00836,0,0.99258,0.99215,0.99367,0.94019,0.99042,0.98992,0.99346,0.99344,0.39973,0.01602,0.00587,0.12267,0.0078,0,0.000939539,0.000939539,0.000939539
96,23884.9,0.59429,0.05177,0.04359,0.23786,0.0084,0,0.99266,0.99189,0.99367,0.9399,0.99047,0.98966,0.99343,0.99342,0.39874,0.01598,0.00585,0.12308,0.00779,0,0.000910996,0.000910996,0.000910996
97,24142.1,0.58959,0.04794,0.04287,0.23833,0.00828,0,0.99123,0.99084,0.9936,0.94022,0.99133,0.98694,0.99336,0.99334,0.39825,0.01594,0.00578,0.12351,0.00778,0,0.000882718,0.000882718,0.000882718
98,24398.6,0.59032,0.05113,0.04294,0.23771,0.00831,0,0.99396,0.99065,0.99351,0.94043,0.99212,0.98858,0.99327,0.99325,0.39779,0.0159,0.00574,0.12271,0.00777,0,0.000854717,0.000854717,0.000854717
99,24656.5,0.58974,0.05116,0.04282,0.23543,0.00834,0,0.99317,0.98969,0.99373,0.94077,0.99143,0.98678,0.99348,0.99347,0.39674,0.01585,0.00583,0.12336,0.00775,0,0.000827005,0.000827005,0.000827005
100,24913.4,0.5858,0.05022,0.04311,0.23508,0.0082,0,0.99295,0.99032,0.99349,0.9405,0.99105,0.98822,0.99321,0.9932,0.39588,0.01582,0.00581,0.1231,0.00774,0,0.000799596,0.000799596,0.000799596
101,25170.9,0.58505,0.04908,0.04155,0.2346,0.00824,0,0.99048,0.99058,0.99365,0.94108,0.99084,0.98705,0.9934,0.99339,0.39556,0.01578,0.00578,0.12282,0.00774,0,0.0007725,0.0007725,0.0007725
102,25427.6,0.58332,0.04936,0.04277,0.23348,0.00824,0,0.9915,0.9916,0.99367,0.94125,0.99017,0.98901,0.99342,0.99341,0.39474,0.01576,0.00575,0.12203,0.00772,0,0.00074573,0.00074573,0.00074573
103,25684.1,0.58405,0.04836,0.04307,0.2331,0.00821,0,0.99281,0.99241,0.99368,0.94149,0.99135,0.9902,0.99345,0.99343,0.39416,0.01579,0.00572,0.12111,0.00771,0,0.000719297,0.000719297,0.000719297
104,25939.3,0.58275,0.05076,0.04283,0.23251,0.0082,0,0.99173,0.99372,0.99366,0.94122,0.99023,0.99084,0.99346,0.99345,0.39332,0.01575,0.00564,0.12063,0.0077,0,0.000693214,0.000693214,0.000693214
105,26196.4,0.57934,0.04934,0.04183,0.23171,0.00811,0,0.9936,0.99228,0.99371,0.94145,0.9916,0.99005,0.99348,0.99346,0.39262,0.01573,0.0056,0.12024,0.00769,0,0.00066749,0.00066749,0.00066749
106,26453.1,0.57956,0.04852,0.04201,0.23306,0.00819,0,0.99332,0.99227,0.9937,0.94118,0.99122,0.99014,0.99347,0.99345,0.39225,0.0157,0.00555,0.1201,0.00768,0,0.000642139,0.000642139,0.000642139
107,26711.7,0.58161,0.04992,0.04226,0.23152,0.00815,0,0.99248,0.9928,0.9937,0.94126,0.99103,0.98927,0.99346,0.99344,0.3918,0.01567,0.00555,0.12046,0.00768,0,0.00061717,0.00061717,0.00061717
108,26969.1,0.57842,0.04928,0.04131,0.23151,0.00815,0,0.99223,0.99346,0.9937,0.94136,0.99019,0.99081,0.99347,0.99345,0.39142,0.01564,0.00552,0.11992,0.00767,0,0.000592596,0.000592596,0.000592596
109,27225.6,0.57695,0.04696,0.04179,0.22931,0.0081,0,0.99293,0.99243,0.99372,0.94159,0.99073,0.98966,0.99348,0.99347,0.39059,0.01561,0.00549,0.11937,0.00765,0,0.000568425,0.000568425,0.000568425
110,27482.3,0.57803,0.04974,0.043,0.23253,0.00812,0,0.99176,0.99277,0.99372,0.94221,0.99118,0.9894,0.99348,0.99347,0.38987,0.01556,0.00547,0.11956,0.00764,0,0.00054467,0.00054467,0.00054467
111,27738.5,0.57856,0.04842,0.04182,0.23214,0.00812,0,0.99176,0.99411,0.99373,0.94194,0.99024,0.99176,0.99351,0.99349,0.38938,0.01557,0.00545,0.1188,0.00764,0,0.000521341,0.000521341,0.000521341
112,27995,0.5717,0.04689,0.04103,0.22821,0.00806,0,0.99332,0.99273,0.99374,0.94209,0.99149,0.99049,0.99352,0.9935,0.3891,0.01555,0.00542,0.11896,0.00763,0,0.000498448,0.000498448,0.000498448
113,28252.9,0.57333,0.04791,0.04138,0.22701,0.00806,0,0.99293,0.99309,0.99374,0.94282,0.99123,0.99058,0.99351,0.9935,0.38859,0.01552,0.00539,0.11888,0.00763,0,0.000476,0.000476,0.000476
