epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,5367.67,0.78439,0.08613,0.06669,0.34781,0.01138,3e-05,0.98801,0.98521,0.99334,0.91421,0.98669,0.9839,0.99306,0.99293,0.46956,0.02256,0.00917,0.15386,0.00917,0,0.00281632,0.00281632,0.00281632
26,5567.25,0.77482,0.08402,0.06451,0.34002,0.01122,0,0.98643,0.98613,0.99319,0.91945,0.98568,0.98456,0.99294,0.99279,0.45847,0.02268,0.0092,0.1515,0.00895,0,0.00280105,0.00280105,0.00280105
27,5769.41,0.76944,0.08537,0.06524,0.34064,0.01114,0,0.98858,0.98562,0.9932,0.92066,0.98743,0.98404,0.99296,0.99288,0.4529,0.02255,0.0087,0.14759,0.00886,0,0.00278522,0.00278522,0.00278522
28,5971.37,0.75644,0.08482,0.06256,0.33519,0.01087,0,0.98726,0.984,0.99327,0.92102,0.98702,0.98286,0.99295,0.99286,0.45044,0.02216,0.00876,0.14963,0.00884,0,0.00276883,0.00276883,0.00276883
29,6179.29,0.75028,0.08239,0.0618,0.32698,0.01081,0,0.98604,0.98665,0.9934,0.92331,0.98535,0.98554,0.99311,0.99304,0.4456,0.0222,0.0087,0.14699,0.00874,0,0.00275189,0.00275189,0.00275189
30,6380.42,0.74541,0.0833,0.06276,0.32691,0.01076,0,0.98474,0.9881,0.9934,0.92499,0.9847,0.98557,0.99313,0.99305,0.44251,0.02199,0.00831,0.14577,0.00866,0,0.00273441,0.00273441,0.00273441
31,6582.84,0.73757,0.09063,0.06164,0.32101,0.01059,0.01553,0.9873,0.98669,0.99343,0.92686,0.98668,0.98443,0.99313,0.99305,0.43815,0.02218,0.00854,0.14406,0.00857,0,0.00271639,0.00271639,0.00271639
32,6788.54,0.73713,0.07745,0.06009,0.32694,0.01064,0,0.985,0.98744,0.9934,0.92814,0.98636,0.98385,0.99308,0.99299,0.43457,0.02194,0.00843,0.14268,0.0085,0,0.00269785,0.00269785,0.00269785
33,6988.66,0.72914,0.07899,0.0609,0.32174,0.01047,0,0.98281,0.98777,0.99337,0.92879,0.9857,0.98349,0.99303,0.99293,0.43306,0.02173,0.0083,0.143,0.00847,0,0.00267878,0.00267878,0.00267878
34,7194.54,0.72708,0.07386,0.05969,0.31455,0.01045,0,0.98363,0.98901,0.99337,0.92955,0.98331,0.98678,0.99307,0.99297,0.43125,0.02162,0.00825,0.14235,0.00843,0,0.00265921,0.00265921,0.00265921
35,7397.35,0.7289,0.07986,0.05982,0.31755,0.01039,0,0.9883,0.98731,0.99351,0.93023,0.98699,0.986,0.99321,0.99313,0.42931,0.02138,0.00835,0.13904,0.00839,0,0.00263914,0.00263914,0.00263914
36,7601.94,0.71919,0.07809,0.05836,0.31765,0.01033,0.00045,0.98744,0.98724,0.99347,0.92981,0.98619,0.98587,0.99313,0.99305,0.42833,0.02121,0.00821,0.14037,0.00837,0,0.00261857,0.00261857,0.00261857
37,7804.33,0.70816,0.07368,0.05744,0.30823,0.01015,0,0.98857,0.98744,0.99356,0.93027,0.98728,0.986,0.99316,0.99308,0.42674,0.02115,0.00805,0.13852,0.00833,0,0.00259752,0.00259752,0.00259752
38,8007.34,0.70539,0.07874,0.05738,0.30694,0.01011,0,0.98872,0.98608,0.99355,0.93022,0.98861,0.98404,0.99311,0.99305,0.42637,0.02126,0.00795,0.13831,0.00833,0,0.00257599,0.00257599,0.00257599
39,8210.2,0.70789,0.07545,0.05787,0.30711,0.01021,5e-05,0.98472,0.99123,0.99351,0.9304,0.9846,0.98721,0.9931,0.99303,0.42535,0.02112,0.00788,0.13863,0.0083,0,0.002554,0.002554,0.002554
40,8413.35,0.70144,0.07475,0.05558,0.302,0.01006,0,0.98464,0.98989,0.9935,0.93107,0.98803,0.98281,0.99309,0.99303,0.42449,0.02087,0.0078,0.13876,0.00828,0,0.00253155,0.00253155,0.00253155
41,8619.12,0.69451,0.0726,0.05492,0.29861,0.00997,0,0.99093,0.9861,0.9936,0.93134,0.98974,0.98473,0.99324,0.99317,0.42358,0.0208,0.00771,0.1371,0.00827,0,0.00250866,0.00250866,0.00250866
42,8820.69,0.69513,0.07259,0.0555,0.29433,0.00993,0,0.98964,0.98727,0.99362,0.93165,0.98833,0.98592,0.99326,0.9932,0.42262,0.02087,0.00746,0.13746,0.00825,0,0.00248533,0.00248533,0.00248533
43,9025.37,0.69774,0.07222,0.05515,0.29402,0.00996,3e-05,0.98718,0.98717,0.99358,0.93237,0.98587,0.98582,0.99325,0.99319,0.42165,0.02046,0.00738,0.13845,0.00823,0,0.00246157,0.00246157,0.00246157
44,9229.95,0.68455,0.07184,0.05532,0.29213,0.00976,0,0.98783,0.98746,0.99368,0.93292,0.98666,0.98613,0.9933,0.99324,0.42112,0.02036,0.00723,0.13808,0.00822,0,0.0024374,0.0024374,0.0024374
45,9433.31,0.68295,0.0689,0.05441,0.29211,0.00976,0.00018,0.99119,0.98636,0.99377,0.93335,0.99026,0.98476,0.99338,0.99333,0.42048,0.0203,0.00716,0.13643,0.00821,0,0.00241283,0.00241283,0.00241283
46,9635.21,0.67935,0.06877,0.05392,0.28851,0.0097,0,0.99117,0.98386,0.99376,0.93424,0.99069,0.98168,0.99337,0.99331,0.42006,0.02025,0.00704,0.13758,0.0082,0,0.00238786,0.00238786,0.00238786
47,9836.34,0.67985,0.06981,0.05338,0.29101,0.00972,0,0.99112,0.98325,0.99371,0.9345,0.9901,0.9818,0.99332,0.99326,0.41941,0.02019,0.00696,0.13797,0.00819,0,0.00236251,0.00236251,0.00236251
48,10041.6,0.67544,0.06783,0.05397,0.28613,0.00962,0,0.98922,0.98419,0.99373,0.93471,0.99002,0.98076,0.99338,0.99333,0.41864,0.01982,0.00674,0.138,0.00818,0,0.00233679,0.00233679,0.00233679
49,10244.9,0.67406,0.06912,0.05347,0.28665,0.00958,0,0.98859,0.98648,0.99381,0.93481,0.9883,0.98358,0.99349,0.99343,0.418,0.01972,0.00667,0.13721,0.00817,0,0.0023107,0.0023107,0.0023107
50,10449.9,0.66771,0.06662,0.05288,0.2813,0.00949,0,0.98847,0.98763,0.99382,0.93514,0.98764,0.98534,0.99352,0.99346,0.41697,0.01967,0.00662,0.13716,0.00816,0,0.00228427,0.00228427,0.00228427
51,10651.6,0.66541,0.06579,0.05298,0.27843,0.00947,0,0.989,0.98757,0.99384,0.93554,0.98897,0.98508,0.99358,0.99353,0.41635,0.01963,0.0066,0.13599,0.00815,0,0.0022575,0.0022575,0.0022575
52,10854.7,0.66432,0.06918,0.05302,0.27751,0.00943,0,0.98913,0.98854,0.99388,0.93592,0.98788,0.986,0.99363,0.99358,0.41566,0.01965,0.00656,0.1345,0.00814,0,0.0022304,0.0022304,0.0022304
53,11059.9,0.65956,0.06566,0.05181,0.27732,0.0094,0,0.99017,0.98832,0.99387,0.93662,0.98962,0.98598,0.99364,0.99359,0.41535,0.01957,0.00653,0.13335,0.00814,0,0.00220299,0.00220299,0.00220299
54,11268.6,0.66271,0.06831,0.05249,0.27674,0.00941,0,0.98823,0.9889,0.9939,0.93604,0.98691,0.9869,0.99366,0.99362,0.41467,0.01934,0.00649,0.13453,0.00812,0,0.00217528,0.00217528,0.00217528
55,11482.1,0.65336,0.06452,0.05096,0.27162,0.00928,0,0.99042,0.98733,0.99394,0.9369,0.98884,0.98536,0.99373,0.99368,0.41401,0.01926,0.00644,0.13413,0.00811,0,0.00214728,0.00214728,0.00214728
56,11687.8,0.6543,0.06375,0.05018,0.27259,0.00932,0,0.98991,0.98816,0.99395,0.9371,0.98821,0.98639,0.99373,0.99368,0.41359,0.01916,0.00641,0.13302,0.00811,0,0.002119,0.002119,0.002119
57,11888.6,0.6487,0.06554,0.05168,0.27156,0.00921,0,0.98847,0.98901,0.99387,0.93694,0.98681,0.98731,0.99365,0.99361,0.4132,0.0192,0.00642,0.13319,0.0081,0,0.00209046,0.00209046,0.00209046
58,12088.8,0.64721,0.06365,0.04941,0.2694,0.00921,0,0.99067,0.98626,0.99387,0.93675,0.99028,0.98404,0.99366,0.99362,0.4127,0.01937,0.00651,0.13339,0.00809,0,0.00206166,0.00206166,0.00206166
59,12296.5,0.64824,0.06379,0.05037,0.26668,0.00925,0,0.98837,0.98976,0.99393,0.93666,0.98857,0.98665,0.99372,0.99368,0.41228,0.01919,0.00644,0.13233,0.00808,0,0.00203263,0.00203263,0.00203263
60,12498.1,0.64541,0.06349,0.05067,0.26675,0.00914,0,0.98797,0.98909,0.99395,0.93687,0.99142,0.98289,0.99374,0.99369,0.41185,0.01887,0.00633,0.13185,0.00808,0,0.00200337,0.00200337,0.00200337
61,12703.6,0.64172,0.06204,0.05068,0.26452,0.00912,0,0.98781,0.99084,0.99393,0.93715,0.98625,0.98914,0.99372,0.99366,0.41137,0.01878,0.00626,0.13108,0.00807,0,0.00197389,0.00197389,0.00197389
62,12907.8,0.64147,0.06342,0.04947,0.26556,0.00912,0,0.98694,0.9911,0.99389,0.93729,0.99001,0.98531,0.9937,0.99364,0.41097,0.01897,0.00636,0.13092,0.00805,0,0.00194421,0.00194421,0.00194421
63,13105.7,0.6402,0.06042,0.05039,0.26542,0.00907,0,0.99162,0.98927,0.99399,0.93745,0.99185,0.98684,0.99378,0.99372,0.41047,0.01891,0.00632,0.12971,0.00804,0,0.00191435,0.00191435,0.00191435
64,13309.1,0.63575,0.06208,0.04966,0.26011,0.00903,0,0.98935,0.99045,0.99399,0.93744,0.98963,0.98684,0.99379,0.99372,0.41004,0.01886,0.00627,0.1298,0.00803,0,0.0018843,0.0018843,0.0018843
65,13512.4,0.6362,0.06056,0.04883,0.26227,0.00901,0,0.98919,0.98979,0.99398,0.93769,0.98903,0.98731,0.99378,0.99372,0.40946,0.01894,0.00621,0.12989,0.00802,0,0.0018541,0.0018541,0.0018541
66,13712.8,0.63199,0.06064,0.04874,0.26019,0.00893,0,0.98967,0.9904,0.99398,0.93789,0.98925,0.98727,0.99379,0.99373,0.40891,0.01888,0.00632,0.12855,0.008,0,0.00182375,0.00182375,0.00182375
67,13913.8,0.63262,0.06102,0.04883,0.26026,0.00897,0,0.98802,0.99249,0.99389,0.93834,0.98739,0.9894,0.99371,0.99365,0.40815,0.01883,0.00628,0.1289,0.00799,0,0.00179326,0.00179326,0.00179326
68,14117.6,0.6258,0.05956,0.04878,0.25598,0.00888,0,0.98768,0.99123,0.99408,0.93835,0.98949,0.98589,0.99391,0.99385,0.40765,0.01882,0.00624,0.12908,0.00798,0,0.00176265,0.00176265,0.00176265
69,14322.3,0.63049,0.06247,0.04865,0.25918,0.00894,0,0.98905,0.98914,0.99393,0.9381,0.98874,0.98705,0.99375,0.99368,0.40667,0.01877,0.00623,0.12999,0.00796,0,0.00173193,0.00173193,0.00173193
70,14524.4,0.62116,0.05909,0.04804,0.2545,0.00884,0,0.99049,0.9894,0.99407,0.93839,0.98951,0.98754,0.9939,0.99383,0.40584,0.0187,0.00619,0.12802,0.00795,0,0.00170112,0.00170112,0.00170112
71,14724.5,0.61812,0.05852,0.04686,0.251,0.00878,0,0.98923,0.98992,0.99404,0.93913,0.98958,0.98691,0.99387,0.99381,0.40495,0.01861,0.00617,0.12844,0.00793,0,0.00167022,0.00167022,0.00167022
72,14926.7,0.62038,0.05974,0.04711,0.2523,0.00872,0,0.98518,0.99173,0.99399,0.9394,0.9891,0.98587,0.99382,0.99377,0.40388,0.01854,0.00613,0.12941,0.0079,0,0.00163926,0.00163926,0.00163926
73,15132.3,0.6179,0.06068,0.04836,0.25278,0.00873,0.0007,0.99003,0.98742,0.99394,0.93959,0.98897,0.98596,0.9938,0.99374,0.40279,0.0185,0.00611,0.12927,0.00788,0,0.00160824,0.00160824,0.00160824
74,15333.5,0.61407,0.05771,0.04697,0.24939,0.0087,0,0.98683,0.99053,0.99399,0.93968,0.98873,0.98587,0.99382,0.99378,0.40181,0.01843,0.00626,0.12814,0.00786,0,0.00157719,0.00157719,0.00157719
75,15541,0.61655,0.05741,0.0467,0.25079,0.0087,0,0.98875,0.98909,0.99398,0.93971,0.98833,0.98628,0.99384,0.99379,0.40091,0.0184,0.00624,0.12823,0.00784,0,0.0015461,0.0015461,0.0015461
76,15744.7,0.61543,0.05748,0.04692,0.25012,0.00866,0,0.99013,0.98979,0.99405,0.94092,0.99023,0.98574,0.99387,0.99383,0.40018,0.01839,0.00608,0.12709,0.00783,0,0.001515,0.001515,0.001515
77,15944.8,0.61401,0.05731,0.04684,0.25142,0.00866,0,0.98697,0.99115,0.99396,0.94114,0.98661,0.98718,0.99384,0.99377,0.39913,0.01832,0.00609,0.12831,0.00781,0,0.0014839,0.0014839,0.0014839
78,16146.4,0.61242,0.05503,0.04599,0.24794,0.00866,0,0.98877,0.99116,0.99382,0.94118,0.98818,0.98835,0.99368,0.99362,0.39827,0.01826,0.00602,0.12637,0.00779,0,0.00145281,0.00145281,0.00145281
79,16342.9,0.60683,0.05485,0.046,0.24637,0.00854,0,0.98878,0.99183,0.99407,0.9416,0.98721,0.98996,0.99394,0.99388,0.39741,0.0182,0.00597,0.12552,0.00777,0,0.00142176,0.00142176,0.00142176
80,16543.1,0.6105,0.05622,0.04556,0.24814,0.00855,0,0.988,0.99125,0.99402,0.94223,0.98712,0.98914,0.99388,0.99381,0.39661,0.01816,0.00592,0.12603,0.00775,0,0.00139074,0.00139074,0.00139074
81,16745.5,0.60509,0.05616,0.04496,0.24326,0.00853,0,0.98903,0.99123,0.99383,0.94151,0.98764,0.9894,0.99369,0.99362,0.39563,0.01812,0.00589,0.12502,0.00773,0,0.00135978,0.00135978,0.00135978
82,16949.7,0.60687,0.05526,0.04539,0.24387,0.00855,0,0.98931,0.99254,0.9939,0.94315,0.98784,0.99045,0.99376,0.99369,0.39496,0.01805,0.00589,0.12478,0.00772,0,0.00132888,0.00132888,0.00132888
83,17152.9,0.60184,0.05508,0.04549,0.24537,0.00851,0,0.98969,0.99254,0.99386,0.94319,0.98856,0.98992,0.99374,0.99368,0.39422,0.01807,0.0059,0.12417,0.0077,0,0.00129807,0.00129807,0.00129807
84,17355.5,0.60401,0.05471,0.04536,0.24102,0.00852,0,0.98828,0.99269,0.99381,0.94311,0.98978,0.98802,0.99367,0.99362,0.39327,0.01801,0.00592,0.1231,0.00768,0,0.00126735,0.00126735,0.00126735
85,17559,0.59909,0.05473,0.04568,0.24289,0.00842,0,0.99057,0.98976,0.99378,0.94326,0.9898,0.98783,0.99365,0.99359,0.39253,0.01794,0.00591,0.12292,0.00767,0,0.00123674,0.00123674,0.00123674
86,17763,0.59755,0.05209,0.0451,0.24067,0.0084,0,0.98866,0.99372,0.99381,0.94345,0.98837,0.98992,0.99368,0.99363,0.39179,0.0179,0.0059,0.12265,0.00765,0,0.00120625,0.00120625,0.00120625
87,17971.6,0.5991,0.05388,0.0444,0.24152,0.00846,0,0.99058,0.99163,0.99381,0.94357,0.98997,0.98901,0.99368,0.99363,0.39091,0.01784,0.00596,0.12194,0.00764,0,0.0011759,0.0011759,0.0011759
